Adjust_Date,Gas_Price,Gas_Price_Change,Diesel_Price,Diesel_Price_Change
2016/10/20,6775,↑355,5800,↑340
2016/9/19,6420,↓155,5460,↓150
2016/9/2,6575,↑205,5610,↑200
2016/8/19,6370,↑175,5410,↑170
2016/8/5,6195,↓220,5240,↓215
2016/7/22,6415,↓155,5455,↓150
2016/6/9,6570,↑110,5605,↑110
2016/5/26,6460,↑210,5495,↑200
2016/5/12,6250,↑120,5295,↑115
2016/4/27,6130,↑165,5180,↑160
2016/1/14,5965,↓140,5020,↓135
2015/12/2,6105,↓145,5155,↓140
2015/11/18,6250,↓85,5295,↓80
2015/11/4,6335,↓125,5375,↓125
2015/10/21,6460,↑50,5500,↑50
2015/9/17,6410,↑90,5450,↑90
2015/9/2,6320,↓125,5360,↓120
2015/8/19,6445,↓210,5480,↓205
2015/8/5,6655,↓220,5685,↓215
2015/7/22,6875,↓265,5900,↓265
2015/7/8,7140,↓95,6165,↓90
2015/6/9,7235,↓110,6255,↓105
2015/5/12,7345,↑225,6360,↑245
2015/4/25,7090,↑300,6115,↑285
2015/4/11,6790,↑130,5830,↑130
2015/3/27,6670,↓240,5715,↓230
2015/2/28,6910,↑390,5945,↑375
2015/2/10,6520,↑290,5570,↑280
2015/1/27,6230,↓365,5290,↓350
2015/1/13,6595,↓180,5640,↓230
2014/12/27,6775,↓520,5500,↓500
2014/12/13,7295,↓170,6000,↓400
2014/11/15,7465,↓190,6400,↓180
2014/11/1,7655,↓245,6580,↓235
2014/10/18,7900,↓300,6815,↓290
2014/9/30,8200,↓100,7105,↓95
2014/9/17,8300,↓140,7200,↓350
2014/9/2,8440,↓105,7335,↓100
2014/8/19,8545,↓190,7435,↓185
2014/7/22,8735,↓245,7620,↓235
2014/6/24,8980,↑165,7855,↑160
2014/5/24,8815,-,7695,-
2014/5/10,8745,-,7625,-
2014/4/25,8795,↑155,7675,↑145
2014/3/27,8640,↓135,7530,↓130
2014/2/27,8775,↑250,7660,↑200
2014/1/25,8570,↓130,7460,↓125
2014/1/11,8700,↓125,7585,↓120
2013/12/13,8535,↑60,7705,↑60
2013/11/29,8475,↑160,7645,↑155
2013/11/15,8315,↓160,7490,↓155
2013/11/1,8475,↓75,7645,↓75
2013/9/30,8550,↓245,7720,↓235
2013/9/14,8795,↑90,7955,↑85
2013/8/31,8705,↑235,7870,↑225
2013/7/20,8470,↑325,7645,↑310
2013/7/6,8145,↓80,7335,↓75
2013/6/22,8225,-,7410,-
2013/6/7,8125,↓95,7315,↑90
2013/5/10,8220,↑95,7405,↑95
2013/4/25,8125,↓395,7310,↓400
2013/3/27,8520,↓310,7710,↓300
2013/2/25,8830,↑300,8010,↑290
2012/11/16,8530,↓310,7720,↓300
2012/9/11,8840,↑550,8020,↑540
2012/8/11,8290,-,7480,-
2012/7/12,7900,-,7110,-
2012/6/10,8320,-,7510,-
2012/5/11,8850,-,8020,-
2012/3/21,9180,-,8330,-
2012/2/9,8580,-,7730,-
2011/10/10,8280,-,7430,-
2011/4/8,8580,-,7730,-
2011/2/21,8080,-,7330,-
2010/12/23,7730,-,6980,-
2010/10/27,7420,-,6680,-
2010/6/2,7190,-,6460,-
2010/4/15,7420,-,6680,-
2009/11/11,7100,-,6360,-
2009/10/12,6620,-,5880,-
2009/10/1,6620,-,5880,-
2009/9/3,6810,-,6070,-
2009/7/30,6510,-,5770,-
2009/7/1,6730,-,5990,-
2009/6/2,6130,-,5390,-
2009/5/20,5730,-,4990,-
2009/4/2,5730,-,4990,-
2009/3/26,5730,-,4990,-
2009/1/15,5440,↓140,4810,↓160
2008/12/20,5580,-,4970,-
2008/6/21,6480,-,6070,-
2007/11/2,5480,-,5070,-
2007/1/15,4980,-,4570,-
2006/5/25,5200,-,4570,-
2006/3/27,4700,-,4070,-
2005/7/24,4400,-,3870,-
2005/6/26,4100,-,3620,-
2005/5/25,3900,-,3470,-
2005/5/11,4050,-,3470,-
2005/3/24,4050,-,3320,-
2004/8/26,3750,-,3320,-
2004/5/19,3510,-,3100,-
2004/4/1,3510,-,2820,-
2003/12/7,3210,-,2820,-
2003/7/2,3010,-,2640,-
2003/5/11,2920,-,2640,-
2003/2/2,3210,-,2900,-
2002/10/12,3020,-,2730,-
2002/5/5,2820,-,2540,-
2002/4/5,2580,-,2300,-
2002/3/5,2320,-,2060,-
2002/1/2,2190,-,1930,-
2001/11/25,2420,-,2140,-
2001/10/18,2780,-,2500,-
2001/9/10,2530,-,2480,-
2001/8/9,2530,-,2580,-
2001/7/4,2810,-,2630,-
2001/6/6,3260,-,2690,-
2001/5/15,3070,-,2560,-
2001/4/10,2970,-,2350,-
2001/3/7,3080,-,2440,-
2001/2/6,2870,-,2485,-
2001/1/14,3035,-,2675,-
2000/12/21,3165,-,3010,-
2000/11/18,3185,-,3310,-
2000/10/20,3435,-,3440,-
2000/9/20,3615,-,3070,-
2000/8/18,3405,-,2770,-
2000/7/15,3135,-,2610,-
2000/6/6,2935,-,2430,-
